TIME,OECD_Indicator
1957-12,97.42748
1958-01,97.48082
1958-02,97.59862
1958-03,97.74828
1958-04,97.90379
1958-05,98.08166
1958-06,98.31835
1958-07,98.65302
1958-08,99.04787
1958-09,99.46519
1958-10,99.84736
1958-11,100.1312
1958-12,100.2437
1959-01,100.1699
1959-02,99.99794
1959-03,99.82012
1959-04,99.68948
1959-05,99.59354
1959-06,99.6437
1959-07,99.91741
1959-08,100.5129
1959-09,101.4907
1959-10,102.6406
1959-11,103.664
1959-12,104.3184
1960-01,104.43
1960-02,104.0866
1960-03,103.5159
1960-04,102.8814
1960-05,102.3093
1960-06,101.8528
1960-07,101.5201
1960-08,101.2965
1960-09,101.1308
1960-10,100.9773
1960-11,100.8561
1960-12,100.81
1961-01,100.8259
1961-02,100.851
1961-03,100.7712
1961-04,100.5039
1961-05,100.0537
1961-06,99.42881
1961-07,98.65302
1961-08,97.83707
1961-09,97.14948
1961-10,96.69709
1961-11,96.50275
1961-12,96.48422
1962-01,96.56626
1962-02,96.70817
1962-03,96.89491
1962-04,97.11784
1962-05,97.30865
1962-06,97.44914
1962-07,97.62119
1962-08,97.85652
1962-09,98.11318
1962-10,98.38016
1962-11,98.62384
1962-12,98.83385
1963-01,99.04126
1963-02,99.30643
1963-03,99.64375
1963-04,100.0185
1963-05,100.3791
1963-06,100.7187
1963-07,101.1015
1963-08,101.5012
1963-09,101.8734
1963-10,102.1576
1963-11,102.295
1963-12,102.3104
1964-01,102.2299
1964-02,102.0952
1964-03,101.9818
1964-04,101.9526
1964-05,102.0067
1964-06,102.1468
1964-07,102.2905
1964-08,102.3686
1964-09,102.3058
1964-10,102.0361
1964-11,101.5911
1964-12,101.0419
1965-01,100.5039
1965-02,100.0158
1965-03,99.54362
1965-04,99.09653
1965-05,98.76169
1965-06,98.57537
1965-07,98.52
1965-08,98.59654
1965-09,98.80302
1965-10,99.12131
1965-11,99.51232
1965-12,99.94252
1966-01,100.3508
1966-02,100.6711
1966-03,100.8202
1966-04,100.6806
1966-05,100.1516
1966-06,99.26282
1966-07,98.13898
1966-08,96.96713
1966-09,96.00416
1966-10,95.36652
1966-11,95.10138
1966-12,95.18635
1967-01,95.54959
1967-02,96.06269
1967-03,96.69099
1967-04,97.41898
1967-05,98.18868
1967-06,98.92765
1967-07,99.57688
1967-08,100.1451
1967-09,100.6227
1967-10,100.9642
1967-11,101.1325
1967-12,101.1123
1968-01,100.9633
1968-02,100.7221
1968-03,100.4328
1968-04,100.2078
1968-05,100.1753
1968-06,100.3055
1968-07,100.6014
1968-08,100.9641
1968-09,101.2572
1968-10,101.4031
1968-11,101.3454
1968-12,101.0797
1969-01,100.664
1969-02,100.1914
1969-03,99.71412
1969-04,99.24426
1969-05,98.74081
1969-06,98.24561
1969-07,97.79939
1969-08,97.42146
1969-09,97.08892
1969-10,96.83012
1969-11,96.69646
1969-12,96.7459
1970-01,96.92688
1970-02,97.15018
1970-03,97.33575
1970-04,97.43262
1970-05,97.4274
1970-06,97.36019
1970-07,97.23944
1970-08,97.09921
1970-09,96.99863
1970-10,96.94244
1970-11,96.94501
1970-12,97.02547
1971-01,97.18286
1971-02,97.45107
1971-03,97.8664
1971-04,98.44617
1971-05,99.14937
1971-06,99.95399
1971-07,100.8442
1971-08,101.7362
1971-09,102.5947
1971-10,103.391
1971-11,104.1197
1971-12,104.7764
1972-01,105.3252
1972-02,105.8292
1972-03,106.3334
1972-04,106.7712
1972-05,107.0145
1972-06,107.0005
1972-07,106.8203
1972-08,106.5932
1972-09,106.3829
1972-10,106.2453
1972-11,106.1244
1972-12,105.9622
1973-01,105.7271
1973-02,105.4642
1973-03,105.1974
1973-04,104.9195
1973-05,104.6109
1973-06,104.2309
1973-07,103.7049
1973-08,102.9708
1973-09,102.0049
1973-10,100.8921
1973-11,99.66717
1973-12,98.42506
1974-01,97.34473
1974-02,96.56321
1974-03,96.00536
1974-04,95.5986
1974-05,95.28887
1974-06,94.98593
1974-07,94.62887
1974-08,94.26241
1974-09,93.93839
1974-10,93.66108
1974-11,93.50428
1974-12,93.55117
1975-01,93.84237
1975-02,94.33035
1975-03,94.9297
1975-04,95.57626
1975-05,96.22135
1975-06,96.8064
1975-07,97.29955
1975-08,97.7361
1975-09,98.19226
1975-10,98.62415
1975-11,99.11168
1975-12,99.65044
1976-01,100.1933
1976-02,100.6621
1976-03,101.0133
1976-04,101.192
1976-05,101.1506
1976-06,100.9109
1976-07,100.5584
1976-08,100.15
1976-09,99.76915
1976-10,99.52445
1976-11,99.44064
1976-12,99.47492
1977-01,99.6367
1977-02,99.94882
1977-03,100.3413
1977-04,100.8045
1977-05,101.3087
1977-06,101.8107
1977-07,102.3048
1977-08,102.7069
1977-09,103.013
1977-10,103.1909
1977-11,103.2305
1977-12,103.1842
1978-01,103.1007
1978-02,102.9964
1978-03,102.9149
1978-04,102.8753
1978-05,102.9061
1978-06,103.0175
1978-07,103.1298
1978-08,103.1882
1978-09,103.1454
1978-10,102.9786
1978-11,102.7872
1978-12,102.6863
1979-01,102.7157
1979-02,102.8596
1979-03,103.0497
1979-04,103.1073
1979-05,102.8702
1979-06,102.3224
1979-07,101.6496
1979-08,101.0337
1979-09,100.5529
1979-10,100.1719
1979-11,99.80325
1979-12,99.43176
1980-01,99.05435
1980-02,98.6565
1980-03,98.21149
1980-04,97.72513
1980-05,97.30245
1980-06,96.95487
1980-07,96.68082
1980-08,96.50806
1980-09,96.49782
1980-10,96.61971
1980-11,96.88165
1980-12,97.26698
1981-01,97.74738
1981-02,98.25541
1981-03,98.73814
1981-04,99.10116
1981-05,99.26857
1981-06,99.24796
1981-07,99.11466
1981-08,98.91724
1981-09,98.74355
1981-10,98.60178
1981-11,98.49181
1981-12,98.40652
1982-01,98.38757
1982-02,98.4715
1982-03,98.59106
1982-04,98.67965
1982-05,98.75767
1982-06,98.88305
1982-07,99.08344
1982-08,99.33755
1982-09,99.63172
1982-10,99.95498
1982-11,100.228
1982-12,100.4607
1983-01,100.6885
1983-02,100.9146
1983-03,101.163
1983-04,101.415
1983-05,101.6451
1983-06,101.85
1983-07,101.9922
1983-08,102.0456
1983-09,102.016
1983-10,101.9936
1983-11,101.9727
1983-12,101.9545
1984-01,101.9305
1984-02,101.8785
1984-03,101.7627
1984-04,101.5908
1984-05,101.3421
1984-06,101.0534
1984-07,100.7864
1984-08,100.6094
1984-09,100.4967
1984-10,100.4091
1984-11,100.3566
1984-12,100.3162
1985-01,100.2779
1985-02,100.1446
1985-03,100.008
1985-04,99.87473
1985-05,99.75558
1985-06,99.67413
1985-07,99.639
1985-08,99.654
1985-09,99.68778
1985-10,99.73044
1985-11,99.75619
1985-12,99.75631
1986-01,99.73011
1986-02,99.71966
1986-03,99.75047
1986-04,99.81806
1986-05,99.869
1986-06,99.91475
1986-07,99.95149
1986-08,99.99424
1986-09,100.0673
1986-10,100.2149
1986-11,100.4606
1986-12,100.8137
1987-01,101.286
1987-02,101.6886
1987-03,102.1047
1987-04,102.5079
1987-05,102.8409
1987-06,103.0347
1987-07,103.048
1987-08,102.9041
1987-09,102.6492
1987-10,102.3118
1987-11,101.9563
1987-12,101.6352
1988-01,101.3852
1988-02,101.2226
1988-03,101.1506
1988-04,101.1587
1988-05,101.1983
1988-06,101.2023
1988-07,101.1521
1988-08,101.0484
1988-09,100.8925
1988-10,100.7212
1988-11,100.5906
1988-12,100.5087
1989-01,100.4854
1989-02,100.5006
1989-03,100.5258
1989-04,100.5682
1989-05,100.5833
1989-06,100.5349
1989-07,100.4341
1989-08,100.2832
1989-09,100.0813
1989-10,99.87056
1989-11,99.70457
1989-12,99.58515
1990-01,99.48891
1990-02,99.4138
1990-03,99.39773
1990-04,99.45335
1990-05,99.52037
1990-06,99.53601
1990-07,99.47598
1990-08,99.34214
1990-09,99.15041
1990-10,98.93241
1990-11,98.71666
1990-12,98.57319
1991-01,98.56052
1991-02,98.70141
1991-03,98.96999
1991-04,99.27095
1991-05,99.56452
1991-06,99.84536
1991-07,100.1149
1991-08,100.3533
1991-09,100.5082
1991-10,100.557
1991-11,100.5263
1991-12,100.4664
1992-01,100.4373
1992-02,100.4591
1992-03,100.5055
1992-04,100.5106
1992-05,100.3776
1992-06,100.0925
1992-07,99.72485
1992-08,99.3917
1992-09,99.18262
1992-10,99.12991
1992-11,99.21027
1992-12,99.38103
1993-01,99.57696
1993-02,99.78983
1993-03,100.0058
1993-04,100.2144
1993-05,100.403
1993-06,100.5616
1993-07,100.7164
1993-08,100.8657
1993-09,100.9688
1993-10,101.0133
1993-11,101.003
1993-12,100.9459
1994-01,100.8493
1994-02,100.6934
1994-03,100.5041
1994-04,100.3353
1994-05,100.2216
1994-06,100.1536
1994-07,100.1055
1994-08,100.0675
1994-09,100.0035
1994-10,99.90995
1994-11,99.80241
1994-12,99.69373
1995-01,99.62673
1995-02,99.60297
1995-03,99.61137
1995-04,99.65289
1995-05,99.72424
1995-06,99.80776
1995-07,99.87186
1995-08,99.91197
1995-09,99.9227
1995-10,99.91017
1995-11,99.88576
1995-12,99.86932
1996-01,99.86869
1996-02,99.88987
1996-03,99.91527
1996-04,99.93149
1996-05,99.91687
1996-06,99.89508
1996-07,99.89152
1996-08,99.91451
1996-09,99.95642
1996-10,100.0077
1996-11,100.0526
1996-12,100.1073
1997-01,100.188
1997-02,100.2962
1997-03,100.4152
1997-04,100.5383
1997-05,100.6475
1997-06,100.737
1997-07,100.8143
1997-08,100.8921
1997-09,100.9539
1997-10,100.9799
1997-11,100.9693
1997-12,100.9488
1998-01,100.9222
1998-02,100.8903
1998-03,100.8213
1998-04,100.678
1998-05,100.4427
1998-06,100.1216
1998-07,99.75607
1998-08,99.42527
1998-09,99.20914
1998-10,99.14507
1998-11,99.26482
1998-12,99.53823
1999-01,99.92989
1999-02,100.4083
1999-03,100.8955
1999-04,101.3118
1999-05,101.631
1999-06,101.8465
1999-07,101.933
1999-08,101.8729
1999-09,101.6973
1999-10,101.4509
1999-11,101.212
1999-12,101.016
2000-01,100.8638
2000-02,100.7536
2000-03,100.6812
2000-04,100.6128
2000-05,100.5557
2000-06,100.4999
2000-07,100.4558
2000-08,100.441
2000-09,100.4639
2000-10,100.5327
2000-11,100.6171
2000-12,100.6763
2001-01,100.6865
2001-02,100.6557
2001-03,100.5966
2001-04,100.5265
2001-05,100.453
2001-06,100.3579
2001-07,100.2352
2001-08,100.1119
2001-09,100.006
2001-10,99.93453
2001-11,99.91998
2001-12,99.95553
2002-01,100.0406
2002-02,100.1563
2002-03,100.2853
2002-04,100.3867
2002-05,100.4045
2002-06,100.347
2002-07,100.2568
2002-08,100.1419
2002-09,99.99433
2002-10,99.79722
2002-11,99.54408
2002-12,99.25137
2003-01,98.97047
2003-02,98.77855
2003-03,98.71188
2003-04,98.76343
2003-05,98.88396
2003-06,99.04244
2003-07,99.20732
2003-08,99.36812
2003-09,99.52818
2003-10,99.68502
2003-11,99.84106
2003-12,99.99458
2004-01,100.1117
2004-02,100.1752
2004-03,100.1838
2004-04,100.1459
2004-05,100.0871
2004-06,100.0336
2004-07,100.0045
2004-08,100.0207
2004-09,100.0819
2004-10,100.1734
2004-11,100.2623
2004-12,100.3208
2005-01,100.3416
2005-02,100.3259
2005-03,100.2826
2005-04,100.2189
2005-05,100.149
2005-06,100.0976
2005-07,100.0736
2005-08,100.0719
2005-09,100.0941
2005-10,100.1487
2005-11,100.2529
2005-12,100.3901
2006-01,100.528
2006-02,100.6836
2006-03,100.8365
2006-04,100.9803
2006-05,101.1067
2006-06,101.2196
2006-07,101.3415
2006-08,101.5045
2006-09,101.7348
2006-10,101.9978
2006-11,102.2649
2006-12,102.5229
2007-01,102.7588
2007-02,102.9746
2007-03,103.1521
2007-04,103.2744
2007-05,103.3203
2007-06,103.2682
2007-07,103.1279
2007-08,102.9406
2007-09,102.7387
2007-10,102.5093
2007-11,102.2248
2007-12,101.8913
2008-01,101.4987
2008-02,101.0339
2008-03,100.4844
2008-04,99.81976
2008-05,99.0298
2008-06,98.13802
2008-07,97.20745
2008-08,96.31556
2008-09,95.49595
2008-10,94.78689
2008-11,94.25603
2008-12,93.94941
2009-01,93.8628
2009-02,94.03642
2009-03,94.47803
2009-04,95.17336
2009-05,96.05571
2009-06,97.06525
2009-07,98.12836
2009-08,99.15318
2009-09,100.0657
2009-10,100.7945
2009-11,101.3006
2009-12,101.6073
2010-01,101.7521
2010-02,101.782
2010-03,101.7243
2010-04,101.59
2010-05,101.3946
2010-06,101.1819
2010-07,100.9819
2010-08,100.8361
2010-09,100.7496
2010-10,100.7106
2010-11,100.7083
2010-12,100.7211
2011-01,100.7256
2011-02,100.709
2011-03,100.6377
2011-04,100.4988
2011-05,100.285
2011-06,99.9752
2011-07,99.59762
2011-08,99.20311
2011-09,98.83391
2011-10,98.52458
2011-11,98.30252
2011-12,98.17462
2012-01,98.13407
2012-02,98.1469
2012-03,98.18031
2012-04,98.22424
2012-05,98.29173
2012-06,98.41039
2012-07,98.5894
2012-08,98.80123
2012-09,99.02296
2012-10,99.23537
2012-11,99.42393
2012-12,99.59917
2013-01,99.79745
2013-02,100.0218
2013-03,100.2768
2013-04,100.5511
2013-05,100.8257
2013-06,101.0933
2013-07,101.3582
2013-08,101.5878
2013-09,101.7685
2013-10,101.8963
2013-11,102.0018
2013-12,102.1047
2014-01,102.206
2014-02,102.2938
2014-03,102.3644
2014-04,102.3904
2014-05,102.3542
2014-06,102.2564
2014-07,102.1155
2014-08,101.955
2014-09,101.7888
2014-10,101.6332
2014-11,101.4955
2014-12,101.3951
2015-01,101.3379
2015-02,101.3239
2015-03,101.3271
2015-04,101.315
2015-05,101.2695
2015-06,101.1908
2015-07,101.0619
2015-08,100.8968
2015-09,100.7186
2015-10,100.5451
2015-11,100.3816
2015-12,100.2305
2016-01,100.0806
2016-02,99.95596
2016-03,99.86733
2016-04,99.80449
2016-05,99.77323
2016-06,99.7815
2016-07,99.84515
2016-08,99.99392
2016-09,100.198
2016-10,100.3865
2016-11,100.5385
2016-12,100.6485
2017-01,100.7088
2017-02,100.7399
2017-03,100.7549
2017-04,100.7715
2017-05,100.808
2017-06,100.8267
2017-07,100.8143
2017-08,100.771
2017-09,100.7069
2017-10,100.6037
2017-11,100.4758
2017-12,100.3473
2018-01,100.226
2018-02,100.1161
2018-03,100.0188
2018-04,99.92778
2018-05,99.82007
2018-06,99.64625
2018-07,99.39584
2018-08,99.07533
2018-09,98.70825
2018-10,98.35474
2018-11,98.03581
2018-12,97.77864
2019-01,97.61112
2019-02,97.5325
2019-03,97.50742
2019-04,97.50646
2019-05,97.50691
2019-06,97.48922
2019-07,97.46042
2019-08,97.42758
2019-09,97.43612
2019-10,97.53988
2019-11,97.77374
2019-12,98.13306
2020-01,98.60477
2020-02,99.16186
2020-03,95.90975
2020-04,86.81641
2020-05,88.91261
2020-06,94.28973
2020-07,99.30912
2020-08,99.26659
2020-09,98.82277
2020-10,98.43453
2020-11,98.33596
2020-12,99.23607
2021-01,99.11929
2021-02,99.95323
2021-03,100.9347
2021-04,101.3999
2021-05,101.8362
2021-06,102.1811
2021-07,102.4053
2021-08,102.5142
2021-09,102.5286
2021-10,102.4628
2021-11,102.2532
2021-12,101.7939
2022-01,101.016
2022-02,99.93353
2022-03,98.68681
2022-04,97.49371
2022-05,96.47041
2022-06,95.65806
2022-07,95.05814
2022-08,94.62508
2022-09,94.34204
2022-10,94.20728
2022-11,94.1368
2022-12,94.03979
