Date,Sentiment_Index
196507,-1.955
196508,-1.964
196509,-1.857
196510,-1.690
196511,-1.710
196512,-1.725
196601,-1.766
196602,-1.873
196603,-1.626
196604,-1.657
196605,-1.587
196606,-1.522
196607,-1.423
196608,-1.253
196609,-1.359
196610,-1.367
196611,-1.322
196612,-1.208
196701,-1.112
196702,-1.075
196703,-1.185
196704,-1.103
196705,-1.156
196706,-1.056
196707,-1.035
196708,-1.020
196709,-0.922
196710,-1.043
196711,-0.694
196712,-0.368
196801,-0.202
196802,0.018
196803,-0.047
196804,-0.158
196805,0.110
196806,0.291
196807,0.520
196808,0.662
196809,0.848
196810,1.275
196811,1.365
196812,2.123
196901,2.001
196902,1.923
196903,1.978
196904,2.358
196905,2.743
196906,2.806
196907,2.790
196908,2.672
196909,3.025
196910,2.868
196911,2.920
196912,3.042
197001,2.821
197002,2.442
197003,2.411
197004,2.277
197005,1.993
197006,1.552
197007,1.508
197008,1.295
197009,1.206
197010,0.909
197011,0.671
197012,0.566
197101,0.397
197102,0.142
197103,-0.045
197104,-0.460
197105,-0.686
197106,-0.803
197107,-0.760
197108,-0.863
197109,-0.715
197110,-0.795
197111,-0.923
197112,-0.922
197201,-0.731
197202,-0.818
197203,-0.684
197204,-0.657
197205,-0.673
197206,-0.565
197207,-0.630
197208,-0.552
197209,-0.487
197210,-0.542
197211,-0.491
197212,-0.364
197301,-0.409
197302,-0.205
197303,-0.221
197304,-0.340
197305,-0.575
197306,-0.772
197307,-0.893
197308,-1.049
197309,-1.133
197310,-1.284
197311,-1.526
197312,-1.282
197401,-1.188
197402,-1.417
197403,-1.443
197404,-1.697
197405,-1.795
197406,-1.827
197407,-1.847
197408,-2.075
197409,-1.822
197410,-2.133
197411,-2.361
197412,-2.034
197501,-1.848
197502,-2.021
197503,-2.044
197504,-2.056
197505,-2.060
197506,-2.069
197507,-1.913
197508,-1.924
197509,-1.962
197510,-1.859
197511,-1.922
197512,-1.961
197601,-1.806
197602,-1.888
197603,-1.857
197604,-1.829
197605,-1.863
197606,-1.813
197607,-1.732
197608,-1.821
197609,-1.850
197610,-1.853
197611,-1.934
197612,-1.821
197701,-1.691
197702,-1.570
197703,-1.473
197704,-1.470
197705,-1.656
197706,-1.636
197707,-1.607
197708,-1.633
197709,-1.632
197710,-1.615
197711,-1.564
197712,-1.531
197801,-1.547
197802,-1.524
197803,-1.418
197804,-1.200
197805,-1.258
197806,-1.280
197807,-1.377
197808,-1.345
197809,-1.264
197810,-1.234
197811,-1.223
197812,-1.181
197901,-1.000
197902,-1.053
197903,-1.110
197904,-1.090
197905,-0.998
197906,-0.778
197907,-0.628
197908,-0.544
197909,-0.511
197910,-0.797
197911,-0.756
197912,-0.701
198001,-0.772
198002,-0.759
198003,-0.577
198004,-0.624
198005,-0.379
198006,-0.310
198007,-0.272
198008,-0.341
198009,-0.392
198010,-0.376
198011,-0.185
198012,0.202
198101,0.296
198102,0.524
198103,0.637
198104,0.583
198105,0.482
198106,0.664
198107,0.494
198108,0.738
198109,0.929
198110,0.994
198111,1.138
198112,1.371
198201,1.201
198202,1.318
198203,1.452
198204,1.330
198205,1.392
198206,1.299
198207,1.132
198208,0.918
198209,0.786
198210,0.720
198211,0.773
198212,0.791
198301,0.616
198302,0.480
198303,0.294
198304,0.389
198305,0.324
198306,0.406
198307,0.577
198308,0.591
198309,0.721
198310,1.275
198311,1.552
198312,1.751
198401,2.168
198402,2.307
198403,2.250
198404,1.956
198405,2.235
198406,2.234
198407,2.128
198408,1.786
198409,1.737
198410,1.386
198411,1.391
198412,1.181
198501,1.065
198502,0.939
198503,0.864
198504,0.860
198505,0.775
198506,0.651
198507,0.585
198508,0.671
198509,0.667
198510,0.586
198511,0.527
198512,0.646
198601,0.786
198602,0.667
198603,0.644
198604,0.573
198605,0.603
198606,0.589
198607,0.830
198608,0.926
198609,1.008
198610,1.043
198611,1.186
198612,1.225
198701,1.188
198702,1.047
198703,0.988
198704,1.018
198705,0.914
198706,0.830
198707,0.689
198708,0.555
198709,0.589
198710,0.471
198711,0.510
198712,0.204
198801,0.209
198802,0.253
198803,0.126
198804,-0.033
198805,-0.049
198806,-0.141
198807,-0.240
198808,-0.272
198809,-0.347
198810,-0.511
198811,-0.502
198812,-0.444
198901,-0.481
198902,-0.503
198903,-0.494
198904,-0.476
198905,-0.528
198906,-0.403
198907,-0.506
198908,-0.549
198909,-0.536
198910,-0.557
198911,-0.513
198912,-0.357
199001,-0.327
199002,-0.301
199003,-0.265
199004,-0.058
199005,-0.136
199006,-0.133
199007,-0.208
199008,-0.090
199009,-0.085
199010,-0.086
199011,-0.187
199012,-0.214
199101,-0.256
199102,-0.173
199103,-0.227
199104,-0.207
199105,-0.104
199106,-0.021
199107,-0.160
199108,-0.262
199109,-0.220
199110,-0.202
199111,-0.015
199112,0.085
199201,0.209
199202,0.366
199203,0.541
199204,0.466
199205,0.455
199206,0.464
199207,0.449
199208,0.538
199209,0.603
199210,0.566
199211,0.616
199212,0.720
199301,0.766
199302,0.834
199303,0.735
199304,0.382
199305,0.258
199306,0.224
199307,0.261
199308,0.196
199309,0.255
199310,0.416
199311,0.565
199312,0.600
199401,0.635
199402,0.555
199403,0.498
199404,0.429
199405,0.558
199406,0.665
199407,0.587
199408,0.615
199409,0.622
199410,0.487
199411,0.486
199412,0.356
199501,0.413
199502,0.432
199503,0.285
199504,0.079
199505,-0.054
199506,-0.098
199507,-0.163
199508,-0.046
199509,0.011
199510,0.041
199511,0.129
199512,0.175
199601,0.230
199602,0.234
199603,0.300
199604,0.208
199605,0.269
199606,0.483
199607,0.573
199608,0.704
199609,0.696
199610,0.682
199611,0.663
199612,0.736
199701,0.732
199702,0.795
199703,0.763
199704,0.940
199705,0.807
199706,0.719
199707,0.514
199708,0.630
199709,0.763
199710,0.563
199711,0.604
199712,0.643
199801,0.606
199802,0.411
199803,0.343
199804,0.030
199805,0.152
199806,0.106
199807,0.253
199808,0.320
199809,0.267
199810,0.162
199811,-0.026
199812,-0.229
199901,-0.214
199902,-0.081
199903,-0.105
199904,-0.201
199905,-0.233
199906,-0.102
199907,-0.171
199908,-0.358
199909,-0.150
199910,-0.245
199911,-0.092
199912,0.178
200001,0.536
200002,0.481
200003,0.849
200004,0.378
200005,0.673
200006,0.881
200007,1.160
200008,1.150
200009,1.245
200010,1.297
200011,1.775
200012,2.043
200101,2.269
200102,2.933
200103,2.715
200104,2.354
200105,2.191
200106,2.580
200107,2.457
200108,2.501
200109,2.346
200110,2.114
200111,1.396
200112,1.107
200201,1.356
200202,0.670
200203,0.352
200204,0.453
200205,0.405
200206,0.439
200207,-0.014
200208,-0.128
200209,-0.610
200210,-0.464
200211,-0.285
200212,-0.374
200301,-0.376
200302,-0.545
200303,-0.400
200304,-0.707
200305,-0.738
200306,-0.668
200307,-0.865
200308,-0.951
200309,-0.807
200310,-0.734
200311,-0.654
200312,-0.829
200401,-0.661
200402,-0.531
200403,-0.601
200404,-0.474
200405,-0.476
200406,-0.410
200407,-0.149
200408,-0.001
200409,-0.049
200410,-0.044
200411,-0.045
200412,-0.055
200501,0.033
200502,-0.013
200503,-0.033
200504,0.018
200505,0.024
200506,0.016
200507,-0.182
200508,-0.153
200509,-0.092
200510,-0.061
200511,-0.020
200512,0.051
200601,-0.019
200602,-0.104
200603,-0.132
200604,-0.184
200605,-0.047
200606,0.022
200607,0.109
200608,0.124
200609,0.143
200610,0.141
200611,0.215
200612,0.206
200701,0.270
200702,0.479
200703,0.540
200704,0.596
200705,0.321
200706,0.338
200707,0.247
200708,0.170
200709,0.114
200710,0.111
200711,0.102
200712,0.071
200801,0.202
200802,0.249
200803,0.178
200804,0.078
200805,0.026
200806,0.018
200807,-0.007
200808,0.019
200809,-0.251
200810,-0.238
200811,-0.611
200812,-0.504
200901,-0.497
200902,-0.699
200903,-0.698
200904,-0.850
200905,-0.767
200906,-0.765
200907,-0.562
200908,-0.604
200909,-0.672
200910,-0.845
200911,-0.936
200912,-0.883
201001,-0.866
201002,-0.792
201003,-0.803
201004,-0.588
201005,-0.560
201006,-0.317
201007,-0.330
201008,-0.246
201009,-0.239
201010,-0.362
201011,-0.412
201012,-0.398
201101,-0.388
201102,-0.326
201103,-0.278
201104,-0.281
201105,-0.139
201106,-0.215
201107,-0.242
201108,-0.251
201109,-0.182
201110,-0.189
201111,-0.332
201112,-0.365
201201,-0.425
201202,-0.353
201203,-0.355
201204,-0.347
201205,-0.327
201206,-0.460
201207,-0.324
201208,-0.338
201209,-0.329
201210,-0.265
201211,-0.394
201212,-0.423
201301,-0.343
201302,-0.212
201303,-0.144
201304,-0.245
201305,-0.191
201306,-0.131
201307,-0.226
201308,-0.136
201309,-0.107
201310,-0.156
201311,-0.211
201312,-0.099
201401,-0.294
201402,-0.255
201403,-0.252
201404,-0.266
201405,-0.213
201406,-0.171
201407,-0.042
201408,-0.075
201409,-0.016
201410,-0.112
201411,-0.048
201412,0.003
201501,0.132
201502,0.178
201503,0.128
201504,-0.064
201505,-0.039
201506,0.010
201507,-0.162
201508,-0.174
201509,-0.270
201510,-0.332
201511,-0.409
201512,-0.380
201601,-0.452
201602,-0.433
201603,-0.391
201604,-0.393
201605,-0.363
201606,-0.300
201607,-0.218
201608,-0.216
201609,-0.324
201610,-0.307
201611,-0.251
201612,-0.266
201701,-0.349
201702,-0.311
201703,-0.272
201704,-0.354
201705,-0.267
201706,-0.364
201707,-0.388
201708,-0.426
201709,-0.242
201710,-0.207
201711,-0.220
201712,-0.212
201801,-0.133
201802,-0.073
201803,-0.018
201804,-0.279
201805,-0.302
201806,-0.296
201807,-0.241
201808,-0.239
201809,-0.298
201810,-0.326
201811,-0.368
201812,-0.414
201901,-0.246
201902,-0.202
201903,-0.156
201904,-0.197
201905,-0.125
201906,-0.059
201907,-0.059
201908,0.006
201909,-0.011
201910,-0.160
201911,-0.127
201912,-0.135
202001,0.027
202002,-0.075
202003,-0.172
202004,-0.177
202005,-0.171
202006,-0.077
202007,-0.027
202008,-0.011
202009,-0.021
202010,0.103
202011,0.179
202012,0.348
202101,0.706
202102,1.025
202103,1.223
202104,0.963
202105,1.113
202106,1.222
202107,1.406
202108,1.658
202109,1.735
202110,1.721
202111,2.018
202112,2.278
